1
-25.982,-0.0441631,-0.0482372,-22.832,0.000588972,0.000115489,0,4.61847e+07,1.54742e+06,38.745,0,3.99988e+07
-25.937,-0.0441524,-0.0452923,-22.787,0.00059489,0.000111005,0.045,6.58881e+07,1.48734e+06,38.7,0.045,4.65595e+07
-25.892,-0.0441436,-0.0450277,-22.742,0.000600818,0.000106382,0.09,8.3939e+07,1.42539e+06,38.655,0.09,6.78443e+07
-25.847,-0.0441364,-0.0449686,-22.697,0.000606738,0.000101648,0.135,1.00515e+08,1.36197e+06,38.61,0.135,8.60417e+07
-25.802,-0.0441309,-0.0450354,-22.652,0.000612631,9.68318e-05,0.18,1.16197e+08,1.29743e+06,38.565,0.18,1.0222e+08
-25.757,-0.0441268,-0.045106,-22.607,0.000618479,9.19593e-05,0.225,1.30854e+08,1.23215e+06,38.52,0.225,1.17733e+08
-25.712,-0.0441241,-0.044898,-22.562,0.00062426,8.70574e-05,0.27,1.44501e+08,1.16647e+06,38.475,0.27,1.32151e+08
-25.667,-0.0441226,-0.0449635,-22.517,0.000629956,8.21527e-05,0.315,1.57154e+08,1.10075e+06,38.43,0.315,1.45639e+08
-25.622,-0.0441222,-0.0449506,-22.472,0.000635547,7.72714e-05,0.36,1.68624e+08,1.03535e+06,38.385,0.36,1.58619e+08
-25.577,-0.0441227,-0.0447233,-22.427,0.000641013,7.2438e-05,0.405,1.79031e+08,970585,38.34,0.405,1.70129e+08
-25.532,-0.0441241,-0.0448774,-22.382,0.000646335,6.76764e-05,0.45,1.88585e+08,906785,38.295,0.45,1.80522e+08
-25.487,-0.0441261,-0.0447991,-22.337,0.000651497,6.30101e-05,0.495,1.97568e+08,844262,38.25,0.495,1.90341e+08
-25.442,-0.0441288,-0.0446539,-22.292,0.00065648,5.84618e-05,0.54,2.06131e+08,783320,38.205,0.54,1.98798e+08
-25.397,-0.0441319,-0.0448543,-22.247,0.000661269,5.40523e-05,0.585,2.14323e+08,724238,38.16,0.585,2.0693e+08
-25.352,-0.0441354,-0.0445897,-22.202,0.000665849,4.9801e-05,0.63,2.22202e+08,667276,38.115,0.63,2.15094e+08
-25.307,-0.044139,-0.0447875,-22.157,0.000670209,4.57269e-05,0.675,2.29664e+08,612688,38.07,0.675,2.22779e+08
-25.262,-0.0441426,-0.0446783,-22.112,0.000674336,4.18481e-05,0.72,2.36648e+08,560716,38.025,0.72,2.30273e+08
-25.217,-0.0441461,-0.0446899,-22.067,0.000678221,3.81794e-05,0.765,2.4315e+08,511560,37.98,0.765,2.37149e+08
-25.172,-0.0441493,-0.0434916,-22.022,0.000681857,3.47331e-05,0.81,2.49231e+08,465384,37.935,0.81,2.43892e+08
-25.127,-0.0441521,-0.0456544,-21.977,0.000685239,3.15207e-05,0.855,2.5482e+08,422341,37.89,0.855,2.49855e+08
-25.082,-0.0441543,-0.0447156,-21.932,0.000688362,2.8551e-05,0.9,2.59847e+08,382551,37.845,0.9,2.55692e+08
-25.037,-0.0441558,-0.0445255,-21.887,0.000691226,2.58292e-05,0.945,2.64339e+08,346082,37.8,0.945,2.60919e+08
-24.992,-0.0441564,-0.0445024,-21.842,0.000693833,2.33588e-05,0.99,2.68268e+08,312981,37.755,0.99,2.65831e+08
-24.947,-0.044156,-0.0444215,-21.797,0.000696185,2.11405e-05,1.035,2.71598e+08,283258,37.71,1.035,2.6953e+08
-24.902,-0.0441545,-0.0444844,-21.752,0.000698288,1.91726e-05,1.08,2.74294e+08,256891,37.665,1.08,2.73303e+08
-24.857,-0.0441518,-0.0443483,-21.707,0.000700149,1.74517e-05,1.125,2.76372e+08,233832,37.62,1.125,2.75955e+08
-24.812,-0.0441477,-0.0442519,-21.662,0.000701777,1.59711e-05,1.17,2.77865e+08,213994,37.575,1.17,2.78385e+08
-24.767,-0.0441421,-0.0442494,-21.617,0.000703186,1.4722e-05,1.215,2.78764e+08,197258,37.53,1.215,2.80158e+08
-24.722,-0.0441349,-0.0442353,-21.572,0.000704389,1.36924e-05,1.26,2.79127e+08,183462,37.485,1.26,2.80531e+08
-24.677,-0.0441261,-0.0440786,-21.527,0.000705403,1.28683e-05,1.305,2.78988e+08,172421,37.44,1.305,2.81058e+08
-24.632,-0.0441156,-0.0441376,-21.482,0.000706246,1.22341e-05,1.35,2.78351e+08,163923,37.395,1.35,2.80324e+08
-24.587,-0.0441034,-0.0441248,-21.437,0.000706937,1.17729e-05,1.395,2.77275e+08,157743,37.35,1.395,2.79701e+08
-24.542,-0.0440894,-0.044243,-21.392,0.000707498,1.14665e-05,1.44,2.75834e+08,153638,37.305,1.44,2.78578e+08
-24.497,-0.0440736,-0.0440965,-21.347,0.000707948,1.1296e-05,1.485,2.7409e+08,151354,37.26,1.485,2.76769e+08
-24.452,-0.0440559,-0.0442275,-21.302,0.000708307,1.12422e-05,1.53,2.72084e+08,150632,37.215,1.53,2.74962e+08
-24.407,-0.0440365,-0.0439822,-21.257,0.000708596,1.12867e-05,1.575,2.69863e+08,151229,37.17,1.575,2.72861e+08
-24.362,-0.0440154,-0.0441492,-21.212,0.000708835,1.14112e-05,1.62,2.67441e+08,152896,37.125,1.62,2.70245e+08
-24.317,-0.0439925,-0.0441466,-21.167,0.000709042,1.15981e-05,1.665,2.64883e+08,155401,37.08,1.665,2.67759e+08
-24.272,-0.0439681,-0.043778,-21.122,0.000709232,1.18317e-05,1.71,2.62195e+08,158531,37.035,1.71,2.65124e+08
-24.227,-0.0439423,-0.0441312,-21.077,0.000709419,1.20975e-05,1.755,2.59406e+08,162092,36.99,1.755,2.62351e+08
-24.182,-0.043915,-0.0438756,-21.032,0.000709616,1.23823e-05,1.8,2.56534e+08,165909,36.945,1.8,2.59508e+08
-24.137,-0.0438865,-0.0438769,-20.987,0.000709832,1.26737e-05,1.845,2.53582e+08,169813,36.9,1.845,2.56581e+08
-24.092,-0.043857,-0.043954,-20.942,0.000710077,1.29614e-05,1.89,2.50572e+08,173668,36.855,1.89,2.53597e+08
