1
-25.982,-0.051557,-0.0559471,-22.832,0.0006567,0.000133692,0,6.10495e+07,1.79132e+06,39.69,0,1.70585e+07
-25.937,-0.0515471,-0.0528583,-22.787,0.000663455,0.000128836,0.045,1.02871e+08,1.72625e+06,39.645,0.045,5.9258e+07
-25.892,-0.0515389,-0.0523869,-22.742,0.000670194,0.000123813,0.09,1.45939e+08,1.65895e+06,39.6,0.09,9.85276e+07
-25.847,-0.0515324,-0.0527221,-22.697,0.000676896,0.000118653,0.135,1.89012e+08,1.58981e+06,39.555,0.135,1.43628e+08
-25.802,-0.0515274,-0.0524742,-22.652,0.000683542,0.000113381,0.18,2.30709e+08,1.51917e+06,39.51,0.18,1.87896e+08
-25.757,-0.0515238,-0.0525372,-22.607,0.000690113,0.000108024,0.225,2.70636e+08,1.4474e+06,39.465,0.225,2.32143e+08
-25.712,-0.0515215,-0.0525051,-22.562,0.00069659,0.00010261,0.27,3.08437e+08,1.37485e+06,39.42,0.27,2.72609e+08
-25.667,-0.0515203,-0.052401,-22.517,0.000702955,9.71644e-05,0.315,3.44504e+08,1.30189e+06,39.375,0.315,3.12806e+08
-25.622,-0.0515201,-0.0523908,-22.472,0.000709188,9.17139e-05,0.36,3.77562e+08,1.22886e+06,39.33,0.36,3.49289e+08
-25.577,-0.0515208,-0.0522148,-22.427,0.00071527,8.62832e-05,0.405,4.07421e+08,1.1561e+06,39.285,0.405,3.82142e+08
-25.532,-0.0515222,-0.0523253,-22.382,0.000721182,8.08971e-05,0.45,4.33932e+08,1.08393e+06,39.24,0.45,4.12242e+08
-25.487,-0.0515244,-0.0522662,-22.337,0.000726907,7.55798e-05,0.495,4.5679e+08,1.01268e+06,39.195,0.495,4.40546e+08
-25.442,-0.051527,-0.0521904,-22.292,0.000732426,7.03549e-05,0.54,4.76099e+08,942675,39.15,0.54,4.62311e+08
-25.397,-0.0515301,-0.0522739,-22.247,0.000737722,6.52447e-05,0.585,4.92298e+08,874204,39.105,0.585,4.83304e+08
